GPU,Model,BatchSize,Optimizer,Epoch,Dataset,Resource,avg Idle time,avg Active time,avg Peak consumption,Execution Time
GTX1080,vgg11,32,adam,20,cifar10,GPU Memory,0.9986305278174037,0.001369472182596291,0.9986305278174037,6078.113561
GTX1080,vgg11,32,adam,20,cifar10,CPU Util%,0.4003423680456491,0.599657631954351,0.0,6078.113561
GTX1080,vgg11,64,sgd,10,cifar10,GPU Util%,0.9946384581944646,0.00536154180553543,0.9943486451238951,2391.146064
GTX1080,vgg11,64,sgd,10,cifar10,GPU Mem Util%,0.9933342993769019,0.006665700623098102,0.0,2391.146064
GTX1080,vgg11,64,sgd,10,cifar10,GPU Memory,0.9968120562237357,0.0031879437762643097,0.9968120562237357,2391.146064
GTX1080,vgg11,64,sgd,10,cifar10,CPU Util%,0.6580205767280104,0.34197942327198955,0.0,2391.146064
GTX1080,vgg11,64,sgd,20,cifar10,GPU Util%,0.9972427804382528,0.0027572195617472065,0.9970976636192135,4780.378732
GTX1080,vgg11,64,sgd,20,cifar10,GPU Mem Util%,0.9965897547525758,0.0034102452474241763,0.0,4780.378732
GTX1080,vgg11,64,sgd,20,cifar10,GPU Memory,0.9984037149905675,0.0015962850094325932,0.9984037149905675,4780.378732
GTX1080,vgg11,64,sgd,20,cifar10,CPU Util%,0.6554926716006385,0.3445073283993615,0.0,4780.378732
GTX1080,vgg11,64,adam,10,cifar10,GPU Util%,0.9898935453442932,0.010106454655706778,0.9897587926155504,2572.20236
GTX1080,vgg11,64,adam,10,cifar10,GPU Mem Util%,0.9890850289718367,0.01091497102816332,0.0,2572.20236
GTX1080,vgg11,64,adam,10,cifar10,GPU Memory,0.9967659345101738,0.003234065489826169,0.9967659345101738,2572.20236
GTX1080,vgg11,64,adam,10,cifar10,CPU Util%,0.3411939091766608,0.6588060908233392,0.0,2572.20236
GTX1080,vgg11,64,adam,20,cifar10,GPU Util%,0.9948861311877812,0.005113868812218737,0.994817946270285,5087.699436
